日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20111230	50.00	50.15	49.59	49.81	0.20	0.40%	19591	975739	0
20111229	49.50	49.72	49.22	49.61	0.04	0.08%	13638	675608	0
20111228	49.75	49.87	49.52	49.57	-0.28	-0.56%	13472	669505	0
20111227	49.85	50.00	49.62	49.85	-0.10	-0.20%	15628	778536	0
20111226	50.00	50.05	49.80	49.95	-0.05	-0.10%	11438	571147	0
20111223	49.89	50.25	49.79	50.00	0.84	1.71%	28469	1423513	0
20111222	49.27	49.32	48.99	49.16	-0.12	-0.24%	17260	849274	0
20111221	48.55	49.30	48.55	49.28	2.28	4.85%	31925	1563040	0
20111220	47.05	47.27	46.91	47.00	0.26	0.56%	7950	374291	0
20111219	47.40	47.40	46.61	46.74	-0.96	-2.01%	25844	1212667	0
20111216	47.65	47.81	47.45	47.70	0.20	0.42%	15183	723476	0
20111215	48.01	48.01	47.50	47.50	-1.09	-2.24%	21987	1049187	0
20111214	48.54	48.60	48.17	48.59	0.04	0.08%	5908	286097	0
20111213	48.37	48.78	48.17	48.55	-0.25	-0.51%	9931	480826	0
20111212	48.94	49.09	48.63	48.80	0.56	1.16%	12180	595326	0
20111209	48.00	48.63	48.00	48.24	-0.62	-1.27%	18170	877077	0
20111208	49.01	49.01	48.40	48.86	-0.34	-0.69%	14793	720228	0
20111207	49.00	49.33	49.00	49.20	0.51	1.05%	15033	739327	0
20111206	49.50	49.50	48.67	48.69	-0.97	-1.95%	14698	719938	0
20111205	49.82	49.82	49.20	49.66	-0.16	-0.32%	9433	467490	0
20111202	50.10	50.25	49.60	49.82	-0.48	-0.95%	11023	549623	0
20111201	49.60	50.60	49.60	50.30	2.22	4.62%	50086	2509005	0
20111130	48.50	48.53	47.75	48.08	-0.64	-1.31%	13561	652493	0
20111129	48.75	48.75	48.20	48.72	0.43	0.89%	13679	663430	0
20111128	48.08	48.30	47.85	48.29	0.85	1.79%	17183	825538	0
20111125	48.24	48.46	47.05	47.44	-0.42	-0.88%	31967	1522906	0
20111124	47.80	48.03	47.28	47.86	0.01	0.02%	38817	1852250	0
20111123	48.80	48.86	47.70	47.85	-1.17	-2.39%	55897	2689306	0
20111122	49.23	49.47	48.83	49.02	-0.21	-0.43%	37161	1824551	0
20111121	49.90	49.90	49.12	49.23	-1.07	-2.13%	46585	2301242	0
20111118	50.70	50.80	50.25	50.30	-1.05	-2.04%	39882	2013948	0
20111117	50.90	51.35	50.50	51.35	0.15	0.29%	16466	838254	0
20111116	52.15	52.30	51.10	51.20	-0.65	-1.25%	20232	1044690	0
20111115	52.05	52.10	51.75	51.85	-0.30	-0.58%	6808	353585	0
20111114	51.75	52.25	51.75	52.15	1.25	2.46%	22866	1190191	0
20111111	50.65	51.05	50.50	50.90	0.35	0.69%	15852	804453	0
20111110	51.25	51.25	50.20	50.55	-1.65	-3.16%	59839	3037844	0
20111109	52.50	52.60	52.10	52.20	0.05	0.10%	9946	520522	0
20111108	52.40	52.85	52.15	52.15	-0.25	-0.48%	13172	691115	0
20111107	52.30	52.55	52.15	52.40	0.10	0.19%	5859	306927	0
20111104	52.20	52.60	52.10	52.30	0.85	1.65%	19731	1034982	0
20111103	52.00	52.00	51.45	51.45	-0.95	-1.81%	29386	1517922	0
20111102	51.60	52.50	51.45	52.40	-0.15	-0.29%	23426	1214958	0
20111101	52.20	52.85	51.85	52.55	0.35	0.67%	10921	572049	0
20111031	52.80	52.95	52.10	52.20	-0.20	-0.38%	16940	888579	0
20111028	53.40	53.45	52.35	52.40	0.15	0.29%	36430	1926724	0
20111027	52.15	52.30	51.75	52.25	0.10	0.19%	23253	1210818	0
20111026	51.60	52.15	51.30	52.15	-1.45	-2.71%	24027	1242830	0
20111025	53.65	53.70	53.45	53.60	0.00	0.00%	23611	1265807	0
20111024	52.45	53.60	52.45	53.60	1.65	3.18%	27555	1469394	0
20111021	51.80	51.95	51.55	51.95	0.20	0.39%	16994	879235	0
20111020	52.55	52.65	51.75	51.75	-0.60	-1.15%	19221	1000529	0
20111019	52.60	52.75	52.30	52.35	-0.20	-0.38%	15305	804184	0
20111018	52.50	52.70	52.20	52.55	-0.55	-1.04%	18730	982604	0
20111017	53.10	53.45	52.80	53.10	0.65	1.24%	12185	647427	0
20111014	52.60	52.90	52.45	52.45	-0.35	-0.66%	9844	518191	0
20111013	53.20	53.20	52.65	52.80	-0.05	-0.09%	12110	640452	0
20111012	52.85	53.10	52.50	52.85	-0.15	-0.28%	10379	548500	0
20111011	52.75	53.00	52.70	53.00	1.45	2.81%	24634	1302666	0
20111007	51.80	52.15	51.50	51.55	0.30	0.59%	18355	951463	0
20111006	51.15	51.55	51.00	51.25	1.00	1.99%	21006	1077780	0
20111005	50.90	50.95	50.20	50.25	-0.50	-0.99%	13796	696382	0
20111004	49.90	50.75	49.50	50.75	0.45	0.89%	19460	975289	0
20111003	50.75	51.00	50.15	50.30	-1.35	-2.61%	26725	1348926	0
20110930	51.45	51.90	51.25	51.65	0.05	0.10%	11847	610860	0
20110929	50.65	51.75	50.60	51.60	0.45	0.88%	14168	727089	0
20110928	51.20	51.30	50.90	51.15	0.05	0.10%	18621	951922	0
20110927	50.50	51.15	50.50	51.10	1.78	3.61%	29805	1515167	0
20110926	50.25	50.30	49.30	49.32	-1.03	-2.05%	42235	2104176	0
20110923	50.50	50.85	49.93	50.35	-1.75	-3.36%	64026	3218883	0
20110922	52.60	52.60	51.85	52.10	-1.50	-2.80%	29986	1562676	0
20110921	53.40	53.95	53.00	53.60	0.20	0.37%	9745	521580	0
20110920	53.35	53.70	52.50	53.40	0.20	0.38%	18364	975273	0
20110919	53.85	53.85	53.05	53.20	-0.90	-1.66%	17268	921332	0
20110916	53.50	54.15	53.50	54.10	1.25	2.37%	32473	1752374	0
20110915	52.70	53.05	52.30	52.85	1.25	2.42%	26023	1371411	0
20110914	53.15	53.20	51.30	51.60	-1.05	-1.99%	40374	2097393	0
20110913	53.60	53.75	52.55	52.65	-1.50	-2.77%	26541	1405765	0
20110909	53.55	54.75	53.55	54.15	0.45	0.84%	21152	1147001	0
20110908	54.00	54.15	53.45	53.70	0.15	0.28%	14965	805907	0
20110907	53.35	53.60	52.90	53.55	1.00	1.90%	15671	834398	0
20110906	53.30	53.35	52.30	52.55	-1.05	-1.96%	25736	1358382	0
20110905	53.95	53.95	53.40	53.60	-1.55	-2.81%	20965	1125983	0
20110902	55.15	55.30	54.65	55.15	0.00	0.00%	14570	801215	0
20110901	55.05	56.10	55.05	55.15	0.60	1.10%	35887	1996647	0
20110831	54.10	54.60	53.90	54.55	0.35	0.65%	17722	962971	0
20110830	54.00	54.40	53.85	54.20	0.40	0.74%	18853	1020787	0
20110829	53.10	54.10	53.10	53.80	0.75	1.41%	21400	1151627	0
20110826	52.80	53.25	52.60	53.05	0.70	1.34%	19422	1029089	0
20110825	53.20	53.30	52.35	52.35	-0.25	-0.48%	16449	870084	0
20110824	53.40	53.40	52.10	52.60	-0.70	-1.31%	25953	1369369	0
20110823	52.10	53.35	51.75	53.30	1.80	3.50%	25871	1358144	0
20110822	51.30	52.45	51.05	51.50	0.40	0.78%	36786	1899903	0
20110819	51.80	51.90	51.10	51.10	-1.85	-3.49%	46327	2387285	0
20110818	53.40	53.45	52.65	52.95	-1.00	-1.85%	29569	1568453	0
20110817	54.35	54.50	53.80	53.95	-0.40	-0.74%	16712	903174	0
20110816	54.80	55.00	54.10	54.35	-0.25	-0.46%	14509	791675	0
20110815	54.20	54.60	54.10	54.60	1.05	1.96%	13373	727558	0
20110812	54.70	54.85	53.40	53.55	-0.55	-1.02%	38053	2056415	0
20110811	53.20	54.50	52.70	54.10	0.00	0.00%	35421	1898917	0
20110810	53.95	54.25	53.40	54.10	1.10	2.08%	51751	2787726	0
20110809	51.00	53.50	50.40	53.00	-0.50	-0.93%	137681	7110075	0
20110808	54.30	54.65	51.40	53.50	-0.95	-1.74%	88159	4704481	0
20110805	55.70	55.70	54.45	54.45	-3.40	-5.88%	93525	5148697	0
20110804	58.60	58.85	57.80	57.85	-0.75	-1.28%	40428	2355743	0
20110803	58.85	58.85	58.20	58.60	-0.95	-1.60%	41980	2455504	0
20110802	59.90	59.90	59.40	59.55	-0.80	-1.33%	16234	966367	0
20110801	60.50	60.50	60.15	60.35	0.45	0.75%	9200	554874	0
20110729	60.75	60.90	59.90	59.90	-0.95	-1.56%	13903	837041	0
20110728	60.80	61.00	60.50	60.85	-0.50	-0.81%	12995	789603	0
20110727	61.20	61.45	61.05	61.35	0.15	0.25%	8730	534834	0
20110726	60.50	61.30	60.50	61.20	0.80	1.32%	15898	970105	0
20110725	60.50	60.85	60.20	60.40	-0.60	-0.98%	8426	510022	0
20110722	60.85	61.15	60.80	61.00	0.40	0.66%	22667	1382242	0
20110721	60.45	60.60	60.35	60.60	0.15	0.25%	10880	657753	0
20110720	59.50	60.50	59.50	60.45	1.55	2.63%	18866	1133065	0
