日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20151231	60.55	60.95	60.50	60.75	0.20	0.33%	3894	236578	0
20151230	61.15	61.15	60.45	60.55	-0.45	-0.74%	7262	440947	0
20151229	61.40	61.40	60.80	61.00	-0.45	-0.73%	3967	241951	0
20151228	61.70	61.70	61.40	61.45	-0.15	-0.24%	3449	212316	0
20151225	61.20	61.60	61.20	61.60	0.40	0.65%	6546	402014	0
20151224	61.35	61.65	61.20	61.20	0.30	0.49%	8456	519184	0
20151223	60.95	61.30	60.80	60.90	0.10	0.16%	7264	443538	0
20151222	60.70	60.90	60.40	60.80	0.15	0.25%	5139	311500	0
20151221	60.05	60.75	59.90	60.65	-0.10	-0.16%	4341	261776	0
20151218	60.85	61.25	60.50	60.75	-0.30	-0.49%	4893	297430	0
20151217	60.55	61.05	60.35	61.05	0.70	1.16%	7558	459332	0
20151216	60.00	60.40	59.70	60.35	0.90	1.51%	6530	392519	0
20151215	59.70	60.05	59.35	59.45	0.05	0.08%	6797	405048	0
20151214	59.25	59.65	59.00	59.40	-0.45	-0.75%	9529	565571	0
20151211	60.55	60.70	59.80	59.85	-0.70	-1.16%	13836	831653	0
20151210	60.40	60.75	59.75	60.55	-0.20	-0.33%	16616	999798	0
20151209	61.20	61.35	60.70	60.75	-0.75	-1.22%	16089	979993	0
20151208	62.25	62.30	61.20	61.50	-1.00	-1.60%	9201	566137	0
20151207	62.20	63.00	62.20	62.50	0.75	1.21%	14814	928256	0
20151204	61.95	61.95	61.40	61.75	-0.65	-1.04%	15049	928987	0
20151203	61.90	62.55	61.70	62.40	0.10	0.16%	6065	377724	0
20151202	62.45	62.75	62.15	62.30	-0.10	-0.16%	6361	397284	0
20151201	61.70	62.45	61.45	62.40	1.20	1.96%	8410	520636	0
20151130	60.90	61.20	60.45	61.20	-0.75	-1.21%	23269	1412481	0
20151127	62.90	62.90	61.80	61.95	-0.85	-1.35%	6291	390859	0
20151126	62.30	62.95	62.30	62.80	0.85	1.37%	8642	542094	0
20151125	61.85	62.10	61.50	61.95	0.00	0.00%	5964	368131	0
20151124	62.50	62.65	61.85	61.95	-0.65	-1.04%	6598	410058	0
20151123	62.60	62.75	62.15	62.60	0.30	0.48%	3463	216063	0
20151120	62.35	62.50	62.05	62.30	0.00	0.00%	5422	337472	0
20151119	61.95	62.30	61.55	62.30	0.90	1.47%	10131	627088	0
20151118	62.35	62.35	61.20	61.40	-0.95	-1.52%	14981	923580	0
20151117	62.00	62.60	62.00	62.35	1.20	1.96%	8728	544635	0
20151116	61.20	61.30	60.60	61.15	-0.45	-0.73%	13430	819613	0
20151113	61.80	62.45	61.55	61.60	-0.65	-1.04%	20385	1262032	0
20151112	62.20	62.40	61.85	62.25	0.10	0.16%	14214	883317	0
20151111	62.90	63.00	61.95	62.15	-0.75	-1.19%	16293	1015415	0
20151110	63.30	63.40	62.85	62.90	-0.75	-1.18%	8847	557862	0
20151109	64.00	64.35	63.60	63.65	-0.45	-0.70%	5533	353672	0
20151106	65.40	65.40	63.65	64.10	-1.30	-1.99%	11916	764182	0
20151105	65.65	65.65	65.25	65.40	-0.15	-0.23%	5902	385930	0
20151104	64.75	65.60	64.70	65.55	1.25	1.94%	16551	1080387	0
20151103	63.80	64.40	63.80	64.30	1.00	1.58%	9293	596847	0
20151102	63.10	63.40	62.60	63.30	0.10	0.16%	4831	304671	0
20151030	63.30	63.45	62.80	63.20	-0.10	-0.16%	5992	378136	0
20151029	64.10	64.30	63.10	63.30	-0.45	-0.71%	8414	533509	0
20151028	64.20	64.25	63.60	63.75	-0.45	-0.70%	5076	323952	0
20151027	64.50	64.55	63.95	64.20	-0.35	-0.54%	5723	367024	0
20151026	64.50	64.85	64.45	64.55	-1.35	-2.05%	12082	780928	0
20151023	66.20	66.50	65.85	65.90	0.40	0.61%	20688	1367594	0
20151022	65.30	65.60	65.25	65.50	0.00	0.00%	8066	527859	0
20151021	66.10	66.15	65.40	65.50	-0.45	-0.68%	11498	755188	0
20151020	66.00	66.10	65.80	65.95	0.00	0.00%	4527	298526	0
