日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20121228	53.70	53.95	53.65	53.80	0.35	0.65%	19933	1072074	0
20121227	53.20	53.60	53.20	53.45	-0.05	-0.09%	11014	588267	0
20121226	53.60	53.75	53.40	53.50	-0.10	-0.19%	18128	971242	0
20121225	52.75	53.70	52.75	53.60	0.90	1.71%	11578	618370	0
20121224	52.90	53.05	52.65	52.70	-0.25	-0.47%	4392	231942	0
20121222	52.60	53.00	52.60	52.95	0.15	0.28%	4239	224049	0
20121221	53.05	53.20	52.40	52.80	-0.25	-0.47%	11689	615645	0
20121220	53.35	53.50	53.05	53.05	-0.65	-1.21%	7276	387312	0
20121219	53.95	53.95	53.60	53.70	0.15	0.28%	4659	250353	0
20121218	53.75	53.75	53.40	53.55	0.05	0.09%	6361	340478	0
20121217	54.20	54.20	53.40	53.50	-0.70	-1.29%	5560	298483	0
20121214	54.60	54.60	54.20	54.20	-0.50	-0.91%	9059	492300	0
20121213	54.30	54.80	54.25	54.70	0.60	1.11%	22337	1217806	0
20121212	53.80	54.30	53.80	54.10	0.45	0.84%	18650	1008894	0
20121211	53.65	53.80	53.30	53.65	-0.05	-0.09%	8905	476963	0
20121210	53.90	54.05	53.50	53.70	-0.20	-0.37%	9933	534102	0
20121207	53.65	54.05	53.65	53.90	0.30	0.56%	16314	879443	0s
20121206	53.75	53.75	53.45	53.60	-0.15	-0.28%	11295	605388	0
20121205	53.30	53.80	53.10	53.75	0.30	0.56%	13588	726433	0
20121204	53.05	53.45	53.05	53.45	-0.05	-0.09%	10697	569376	0
20121203	53.55	53.80	53.20	53.50	-0.05	-0.09%	11201	600297	0
20121130	53.10	53.70	53.00	53.55	0.45	0.85%	29759	1591443	0
20121129	52.65	53.10	52.65	53.10	0.65	1.24%	19858	1051076	0
20121128	52.40	52.50	52.20	52.45	0.05	0.10%	4524	236735	0
20121127	52.20	52.50	52.00	52.40	0.20	0.38%	8538	446540	0
20121126	51.80	52.30	51.80	52.20	0.50	0.97%	13124	684438	0
20121123	50.55	51.80	50.50	51.70	1.50	2.99%	19224	985124	0
20121122	50.30	50.35	50.10	50.20	0.23	0.46%	7870	395166	0
20121121	50.45	50.50	49.70	49.97	-0.38	-0.75%	13326	667474	0
20121120	50.70	50.70	50.25	50.35	0.10	0.20%	4986	251376	0
20121119	50.30	50.35	50.05	50.25	0.31	0.62%	4365	219249	0
20121116	49.95	50.35	49.78	49.94	-0.06	-0.12%	13699	684773	0
20121115	50.00	50.25	49.50	50.00	-0.15	-0.30%	11846	590222	0
20121114	49.95	50.25	49.82	50.15	0.10	0.20%	7656	383172	0
20121113	51.00	51.00	50.00	50.05	-0.85	-1.67%	14839	744809	0
20121112	51.30	51.30	50.85	50.90	-0.20	-0.39%	7505	383047	0
20121109	50.35	51.30	50.25	51.10	0.35	0.69%	10006	508918	0
20121108	50.60	50.75	50.50	50.75	-0.40	-0.78%	9785	495393	0
20121107	50.90	51.20	50.65	51.15	0.25	0.49%	11046	563106	0
20121106	50.65	50.95	50.40	50.90	0.40	0.79%	9619	486790	0
20121105	50.55	50.70	50.30	50.50	-0.20	-0.39%	8126	410260	0
20121102	50.70	50.70	50.50	50.70	0.35	0.70%	7149	361768	0
20121101	50.10	50.55	49.60	50.35	-0.05	-0.10%	16368	818678	0
20121031	50.70	50.70	50.20	50.40	-0.05	-0.10%	6854	345542	0
20121030	50.30	50.65	50.20	50.45	0.45	0.90%	12686	639301	0
20121029	49.99	50.20	49.87	50.00	0.09	0.18%	15100	755045	0
20121026	50.70	50.75	49.87	49.91	-0.59	-1.17%	26363	1323238	0
20121025	50.95	50.95	50.45	50.50	-0.50	-0.98%	20563	1042608	0
20121024	50.55	51.00	50.45	51.00	-1.90	-3.59%	18504	939184	0
20121023	52.90	53.10	52.65	52.90	0.00	0.00%	30800	1627934	0
20121022	52.60	52.90	52.40	52.90	-0.35	-0.66%	13006	684719	0
20121019	53.60	53.60	53.05	53.25	-0.40	-0.75%	16780	892423	0
20121018	53.70	53.80	53.45	53.65	0.25	0.47%	11622	623289	0
20121017	53.90	53.90	53.30	53.40	-0.10	-0.19%	16203	867885	0
20121016	53.40	53.50	53.30	53.50	0.25	0.47%	8037	429367	0
20121015	53.05	53.25	53.00	53.25	0.10	0.19%	10242	543893	0
20121012	53.30	53.40	52.90	53.15	-0.15	-0.28%	16268	864869	0
20121011	53.70	53.70	53.20	53.30	-1.10	-2.02%	30659	1639204	0
20121009	54.75	54.75	54.40	54.40	-0.25	-0.46%	8493	463363	0
20121008	55.00	55.05	54.55	54.65	-0.45	-0.82%	9556	522840	0
20121005	55.00	55.30	55.00	55.10	0.05	0.09%	11700	645230	0
20121004	55.00	55.10	54.50	55.05	0.05	0.09%	8104	444745	0
20121003	55.25	55.30	54.90	55.00	-0.25	-0.45%	3633	200292	0
