日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20101231	60.80	61.40	60.75	61.40	0.60	0.99%	13971	853433	0
20101230	60.70	60.80	60.40	60.80	0.30	0.50%	5871	355424	0
20101229	60.35	60.50	60.20	60.50	0.15	0.25%	15210	917997	0
20101228	60.45	60.50	60.10	60.35	-0.10	-0.17%	12717	766792	0
20101227	60.20	60.55	60.00	60.45	0.25	0.42%	10376	625717	0
20101224	60.45	60.45	60.15	60.20	-0.25	-0.41%	11190	674290	0
20101223	60.05	60.55	60.05	60.45	0.40	0.67%	16447	993056	0
20101222	60.40	60.40	60.00	60.05	0.00	0.00%	14735	885524	0
20101221	59.90	60.15	59.65	60.05	0.15	0.25%	10195	610080	0
20101220	60.40	60.40	59.50	59.90	-0.30	-0.50%	13023	779248	0
20101217	59.80	60.45	59.80	60.20	0.50	0.84%	30719	1850509	0
20101216	59.65	59.85	59.60	59.70	0.10	0.17%	18627	1112660	0
20101215	59.30	59.65	59.15	59.60	0.30	0.51%	11414	677636	0
20101214	59.25	59.60	59.10	59.30	-0.15	-0.25%	11537	684972	0
20101213	59.20	59.50	59.20	59.45	0.15	0.25%	5859	348065	0
20101210	59.60	59.60	59.15	59.30	-0.40	-0.67%	5806	344120	0
20101209	59.50	59.80	59.45	59.70	0.60	1.02%	10498	625269	0
20101208	59.10	59.35	58.95	59.10	0.00	0.00%	6038	356734	0
20101207	59.20	59.20	58.85	59.10	-0.05	-0.08%	5465	322503	0
20101206	59.00	59.35	59.00	59.15	0.15	0.25%	8953	530332	0
20101203	58.60	59.00	58.60	59.00	0.55	0.94%	13504	794550	0
20101202	58.50	58.70	58.35	58.45	0.45	0.78%	12086	707346	0
20101201	57.10	58.00	57.10	58.00	0.90	1.58%	12684	731551	0
20101130	57.05	57.50	56.95	57.10	0.20	0.35%	8006	458479	0
20101129	57.10	57.35	56.85	56.90	0.10	0.18%	8866	506250	0
20101126	57.15	57.15	56.80	56.80	-0.30	-0.53%	4644	264376	0
20101125	56.85	57.15	56.85	57.10	0.25	0.44%	3602	205410	0
20101124	56.70	57.05	56.65	56.85	-0.05	-0.09%	4848	275689	0
20101123	57.35	57.35	56.80	56.90	-0.45	-0.78%	3197	182492	0
20101122	56.80	57.50	56.80	57.35	0.70	1.24%	5493	314291	0
20101119	56.90	57.15	56.30	56.65	0.05	0.09%	3171	179965	0
20101118	56.40	56.60	56.30	56.60	0.10	0.18%	2170	122485	0
20101117	56.35	56.65	56.15	56.50	-0.25	-0.44%	6157	347069	0
20101116	56.10	56.85	56.10	56.75	0.60	1.07%	7064	398491	0
20101115	56.30	56.30	56.05	56.15	-0.20	-0.35%	7380	414589	0
20101112	57.25	57.25	56.35	56.35	-1.15	-2.00%	12201	691924	0
20101111	57.80	57.80	57.45	57.50	-0.15	-0.26%	8634	497132	0
20101110	57.80	57.85	57.60	57.65	-0.05	-0.09%	18165	1049072	0
20101109	57.55	57.70	57.45	57.70	0.15	0.26%	3996	230210	0
20101108	57.80	57.85	57.45	57.55	-0.10	-0.17%	9802	564458	0
20101105	57.55	57.75	57.50	57.65	0.60	1.05%	18917	1089797	0
20101104	56.80	57.20	56.80	57.05	0.35	0.62%	8073	460578	0
20101103	56.95	57.10	56.50	56.70	-0.10	-0.18%	13242	751988	0
20101102	56.80	56.90	56.65	56.80	0.00	0.00%	5733	325612	0
20101101	56.20	57.05	56.20	56.80	0.80	1.43%	12733	723720	0
20101029	56.20	56.35	55.90	56.00	-0.50	-0.88%	7156	401299	0
20101028	56.05	56.50	55.90	56.50	0.45	0.80%	4611	259003	0
20101027	56.50	56.65	55.85	56.05	-0.30	-0.53%	5395	303010	0
20101026	56.30	56.35	56.00	56.35	0.25	0.45%	8842	496932	0
