日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20141231	66.80	67.00	66.60	66.85	0.00	0.00%	7419	495610	0
20141230	67.15	67.45	66.85	66.85	-0.35	-0.52%	8584	575794	0
20141229	66.60	67.30	66.55	67.20	0.60	0.90%	11101	744543	0
20141227	66.75	66.75	66.45	66.60	0.15	0.23%	3792	252448	0
20141226	66.35	66.50	66.20	66.45	0.15	0.23%	6278	416652	0
20141225	66.35	66.40	66.15	66.30	0.00	0.00%	4418	292620	0
20141224	65.90	66.40	65.85	66.30	0.50	0.76%	6957	460453	0
20141223	66.15	66.30	65.75	65.80	-0.20	-0.30%	5242	345829	0
20141222	65.35	66.00	65.30	66.00	0.80	1.23%	7444	489020	0
20141219	64.70	65.30	64.60	65.20	1.50	2.35%	17193	1117404	0
20141218	63.95	64.10	63.65	63.70	0.15	0.24%	8594	548578	0
20141217	64.55	64.55	63.40	63.55	-1.00	-1.55%	19575	1248997	0
20141216	64.80	65.00	64.55	64.55	-0.55	-0.84%	12711	822707	0
20141215	64.75	65.10	64.50	65.10	-0.20	-0.31%	10562	684012	0
20141212	65.25	65.50	65.15	65.30	0.05	0.08%	4478	292349	0
20141211	65.05	65.35	64.70	65.25	-0.05	-0.08%	6920	450493	0
20141210	65.95	66.15	65.15	65.30	-0.90	-1.36%	12852	842082	0
20141209	66.25	66.30	66.00	66.20	-0.15	-0.23%	4621	305751	0
20141208	67.05	67.05	66.35	66.35	-0.50	-0.75%	7633	507941	0
20141205	67.10	67.10	66.75	66.85	-0.25	-0.37%	4318	288818	0
20141204	67.25	67.45	67.10	67.10	0.25	0.37%	11366	764158	0
20141203	65.80	67.00	65.70	66.85	1.05	1.60%	11866	790065	0
20141202	66.35	66.50	65.65	65.80	-1.00	-1.50%	19740	1301942	0
20141201	66.30	67.45	66.15	66.80	-0.70	-1.04%	21283	1420991	0
20141128	67.55	67.70	67.35	67.50	0.00	0.00%	9382	633455	0
20141127	67.15	67.85	67.15	67.50	0.65	0.97%	16529	1116592	0
20141126	66.75	66.90	66.65	66.85	0.00	0.00%	8909	595197	0
20141125	66.65	67.05	66.45	66.85	0.05	0.07%	13192	882252	0
20141124	66.90	67.20	66.75	66.80	0.15	0.23%	13198	884765	0
20141121	66.60	66.80	66.45	66.65	0.05	0.08%	11948	795849	0
20141120	66.05	66.70	66.05	66.60	0.75	1.14%	20763	1381475	0
20141119	65.15	66.10	65.15	65.85	0.95	1.46%	18485	1216573	0
20141118	65.30	65.60	64.80	64.90	-0.20	-0.31%	9941	646619	0
