日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20180723	84.30	84.75	83.85	84.55	-0.10	-0.12%	8504	717700	0
20180720	84.00	84.70	84.00	84.65	1.35	1.62%	18403	1554789	0
20180719	83.10	83.80	83.05	83.30	0.25	0.30%	13218	1104868	0
20180718	83.15	83.50	82.95	83.05	0.50	0.61%	13174	1096705	0
20180717	82.85	82.85	82.40	82.55	-0.45	-0.54%	2993	247260	0
20180716	83.30	83.45	83.00	83.00	-0.35	-0.42%	5332	443589	0
20180713	83.00	83.40	82.80	83.35	0.70	0.85%	13662	1135576	0
20180712	81.60	82.65	81.50	82.65	0.95	1.16%	6883	567291	0
20180711	81.70	81.90	81.30	81.70	-0.75	-0.91%	3899	317878	0
20180710	82.65	82.80	82.35	82.45	0.20	0.24%	4914	405509	0
20180709	81.75	82.45	81.55	82.25	1.30	1.61%	9041	742124	0
20180706	81.10	81.15	80.20	80.95	0.20	0.25%	5351	431771	0
20180705	81.45	81.45	80.60	80.75	-0.65	-0.80%	3119	252502	0
20180704	81.15	81.60	81.10	81.40	0.25	0.31%	1746	142005	0
20180703	81.30	81.95	80.60	81.15	0.10	0.12%	5024	407797	0
20180702	81.50	81.90	81.00	81.05	-0.40	-0.49%	4176	340342	0
20180629	80.30	81.55	80.20	81.45	1.40	1.75%	6584	532142	0
20180628	80.05	80.40	79.80	80.05	-0.35	-0.44%	12064	965311	0
20180627	80.75	80.90	80.30	80.40	-0.30	-0.37%	8308	668958	0
20180626	80.70	80.70	80.00	80.70	-0.20	-0.25%	16434	1320543	0
20180625	80.85	81.05	80.70	80.90	-0.25	-0.31%	7993	646507	0
20180622	80.80	81.20	80.35	81.15	-0.10	-0.12%	6482	523158	0
20180621	81.50	81.60	81.20	81.25	-0.25	-0.31%	2135	173684	0
20180620	80.65	81.70	80.30	81.50	0.90	1.12%	7867	637797	0
20180619	81.10	81.20	80.60	80.60	-1.35	-1.65%	4994	403588	0
20180615	81.60	81.95	81.20	81.95	0.20	0.24%	3862	314683	0
20180614	82.50	82.55	81.75	81.75	-1.25	-1.51%	3564	292513	0
20180613	82.45	83.10	82.35	83.00	0.50	0.61%	4668	386299	0
20180612	82.25	82.50	81.95	82.50	-0.15	-0.18%	2243	184469	0
20180611	82.80	82.95	82.40	82.65	0.10	0.12%	3264	269605	0
20180608	83.30	83.30	82.50	82.55	-0.90	-1.08%	3470	287811	0
20180607	83.50	83.60	83.00	83.45	0.15	0.18%	6704	557849	0
20180606	82.65	83.35	82.65	83.30	0.80	0.97%	6398	531456	0
20180605	82.70	82.70	82.25	82.50	-0.10	-0.12%	2696	222338	0
20180604	81.80	82.60	81.80	82.60	1.25	1.54%	7081	583108	0
20180601	80.80	81.45	80.80	81.35	0.60	0.74%	1849	150142	0
20180531	80.80	80.95	80.55	80.75	0.35	0.44%	1606	129629	0
20180530	81.40	81.40	80.30	80.40	-1.45	-1.77%	6178	497864	0
20180529	82.20	82.20	81.50	81.85	-0.35	-0.43%	1389	113428	0
20180528	82.05	82.25	82.00	82.20	0.35	0.43%	2940	241486	0
20180525	81.55	82.05	81.40	81.85	0.30	0.37%	3116	254972	0
20180524	81.35	81.70	81.25	81.55	0.20	0.25%	1135	92526	0
20180523	81.90	82.00	81.30	81.35	-0.40	-0.49%	2124	173329	0
20180522	81.80	82.30	81.75	81.75	-0.30	-0.37%	1837	150712	0
20180521	81.20	82.10	81.20	82.05	1.10	1.36%	3890	318673	0
20180518	81.20	81.50	80.85	80.95	-0.25	-0.31%	2361	191353	0
20180517	81.95	82.00	81.20	81.20	-0.55	-0.67%	1941	158111	0
20180516	81.45	81.80	81.40	81.75	0.10	0.12%	8294	677321	0
20180515	82.35	82.40	81.65	81.65	-0.85	-1.03%	7222	592066	0
20180514	82.00	82.60	81.90	82.50	0.90	1.10%	17198	1414608	0
20180511	81.10	81.70	81.05	81.60	0.95	1.18%	17654	1436892	0
20180510	80.70	80.70	80.45	80.65	0.20	0.25%	5977	481662	0
20180509	80.00	80.55	80.00	80.45	0.45	0.56%	3359	270071	0
20180508	79.40	80.05	79.35	80.00	0.50	0.63%	5352	427504	0
20180507	79.50	79.55	78.80	79.50	0.55	0.70%	3858	305849	0
20180504	78.55	79.00	78.40	78.95	0.40	0.51%	3475	273249	0
20180503	79.05	79.05	78.35	78.55	-0.85	-1.07%	8823	694073	0
20180502	80.05	80.15	79.40	79.40	-0.60	-0.75%	5513	439622	0
20180430	79.65	80.15	79.05	80.00	0.80	1.01%	6517	519421	0
20180427	79.60	79.65	78.80	79.20	0.15	0.19%	12396	979828	0
20180426	79.70	79.70	78.80	79.05	-0.25	-0.32%	16486	1305125	0
20180425	79.25	79.30	78.80	79.30	-0.25	-0.31%	16461	1301833	0
20180424	79.90	79.95	79.05	79.55	-0.40	-0.50%	16868	1341876	0
20180423	80.25	80.45	79.90	79.95	-0.80	-0.99%	10625	850770	0
20180420	81.00	81.10	80.50	80.75	-1.90	-2.30%	9018	728326	0
20180419	81.90	82.65	81.90	82.65	1.05	1.29%	4461	367817	0
20180418	81.60	82.10	81.35	81.60	0.20	0.25%	3740	305624	0
20180417	82.40	82.40	81.35	81.40	-0.90	-1.09%	4325	352876	0
20180416	82.65	82.65	82.00	82.30	-0.20	-0.24%	1809	148796	0
20180413	82.70	82.80	82.30	82.50	0.00	0.00%	2983	246304	0
20180412	83.05	83.15	82.25	82.50	-0.35	-0.42%	3592	296423	0
20180411	82.90	83.10	82.75	82.85	0.35	0.42%	2604	215930	0
20180410	82.10	82.85	81.75	82.50	0.30	0.36%	3860	318719	0
20180409	82.15	82.30	81.60	82.20	0.70	0.86%	3401	278923	0
20180403	81.50	81.55	81.20	81.50	-0.75	-0.91%	6188	503436	0
20180402	82.85	82.95	82.15	82.25	-0.70	-0.84%	3737	307814	0
20180331	82.85	83.05	82.75	82.95	0.10	0.12%	878	72801	0
20180330	82.65	83.05	82.65	82.85	0.75	0.91%	4973	412328	0
20180329	82.25	82.35	81.80	82.10	-0.15	-0.18%	4100	336214	0
20180328	82.90	82.90	82.20	82.25	-1.15	-1.38%	4161	343128	0
20180327	83.00	83.40	82.95	83.40	1.20	1.46%	3278	272572	0
20180326	81.85	82.20	81.60	82.20	0.10	0.12%	4369	357832	0
20180323	81.85	82.40	81.80	82.10	-1.45	-1.74%	8060	661353	0
20180322	84.00	84.60	83.45	83.55	-0.30	-0.36%	3430	288140	0
20180321	83.80	84.10	83.60	83.85	0.05	0.06%	4892	410077	0
20180320	83.20	83.80	83.20	83.80	-0.05	-0.06%	2895	241726	0
20180319	83.65	84.10	83.45	83.85	-0.05	-0.06%	2036	170676	0
20180316	84.00	84.20	83.10	83.90	-0.35	-0.42%	5511	460022	0
20180315	84.00	84.30	83.90	84.25	-0.05	-0.06%	3507	295015	0
20180314	84.35	84.45	84.00	84.30	-0.65	-0.77%	3416	287870	0
20180313	84.35	84.95	84.30	84.95	0.80	0.95%	9837	831704	0
20180312	83.60	84.25	83.55	84.15	1.30	1.57%	8752	735446	0
20180309	82.90	83.00	82.70	82.85	0.10	0.12%	2832	234740	0
20180308	82.15	82.80	82.15	82.75	0.95	1.16%	3233	266947	0
20180307	81.75	82.45	81.70	81.80	-0.35	-0.43%	2619	214899	0
20180306	81.65	82.15	81.60	82.15	1.40	1.73%	5532	452834	0
20180305	81.10	81.50	80.65	80.75	-0.40	-0.49%	3724	301898	0
20180302	80.85	81.20	80.45	81.15	-0.60	-0.73%	6262	505982	0
20180301	81.55	81.95	81.15	81.75	-0.60	-0.73%	4344	354596	0
20180227	83.10	83.20	82.35	82.35	-0.05	-0.06%	7664	634417	0
20180226	82.55	82.80	82.35	82.40	0.40	0.49%	3289	271560	0
20180223	81.40	82.10	81.40	82.00	1.00	1.23%	3579	292845	0
20180222	81.50	81.50	80.75	81.00	-0.50	-0.61%	3750	303822	0
20180221	81.40	81.70	81.10	81.50	1.80	2.26%	11646	948994	0
20180212	79.55	79.90	79.40	79.70	0.65	0.82%	8444	672978	0
20180209	78.60	79.20	78.00	79.05	-1.55	-1.92%	16211	1271812	0
20180208	80.65	80.95	80.30	80.60	-0.05	-0.06%	4515	363477	0
20180207	81.35	81.40	80.60	80.65	1.00	1.26%	10182	825540	0
20180206	80.85	81.10	78.80	79.65	-3.95	-4.72%	32223	2574017	0
20180205	83.20	83.75	82.90	83.60	-1.30	-1.53%	7076	588994	0
20180202	84.85	85.15	84.35	84.90	-0.35	-0.41%	3082	261095	0
20180201	84.75	85.50	84.75	85.25	0.60	0.71%	2915	248421	0
20180131	84.40	85.00	84.15	84.65	0.10	0.12%	4252	359041	0
20180130	85.20	85.35	84.50	84.55	-1.00	-1.17%	4966	421573	0
20180129	85.50	86.15	85.20	85.55	-1.95	-2.23%	6446	551351	0
20180126	87.45	87.60	86.85	87.50	0.05	0.06%	7775	678482	0
20180125	87.25	88.30	87.15	87.45	0.25	0.29%	4984	436968	0
20180124	88.00	88.00	86.85	87.20	-1.10	-1.25%	5103	444907	0
20180123	88.05	88.40	87.90	88.30	0.35	0.40%	5800	511406	0
20180122	87.15	87.95	87.15	87.95	0.80	0.92%	4441	389066	0
20180119	86.35	87.15	86.35	87.15	0.85	0.98%	5302	461040	0
20180118	85.50	86.55	85.50	86.30	1.15	1.35%	6899	594091	0
20180117	84.65	85.45	84.65	85.15	0.15	0.18%	5698	485174	0
20180116	84.65	85.00	84.50	85.00	0.35	0.41%	3956	335496	0
20180115	84.55	84.70	84.40	84.65	0.55	0.65%	2802	236982	0
20180112	83.55	84.20	83.50	84.10	0.70	0.84%	2871	241215	0
20180111	83.65	83.70	83.10	83.40	-0.35	-0.42%	2579	214868	0
20180110	84.10	84.25	83.55	83.75	-0.40	-0.48%	5750	482359	0
20180109	84.10	84.25	83.90	84.15	0.05	0.06%	3665	308058	0
20180108	83.80	84.15	83.70	84.10	0.35	0.42%	5190	435776	0
20180105	83.50	83.80	83.30	83.75	0.25	0.30%	7617	636769	0
20180104	83.50	83.65	83.20	83.50	0.90	1.09%	5628	469313	0
20180102	82.15	82.60	82.15	82.60	0.45	0.55%	3613	298033	0
