日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20131231	59.05	59.05	58.70	58.70	-0.10	-0.17%	12257	722130	0
20131230	58.35	58.95	58.35	58.80	0.50	0.86%	18119	1064066	0
20131227	57.80	58.40	57.80	58.30	0.45	0.78%	12607	732657	0
20131226	57.85	57.95	57.80	57.85	0.00	0.00%	3417	197708	0
20131225	57.90	57.95	57.75	57.85	0.05	0.09%	3321	192088	0
20131224	57.85	57.90	57.70	57.80	-0.05	-0.09%	5053	292130	0
20131223	57.55	58.00	57.55	57.85	0.40	0.70%	9017	521688	0
20131220	57.35	57.55	57.20	57.45	0.10	0.17%	4318	247994	0
20131219	57.40	57.50	57.15	57.35	0.35	0.61%	6052	347059	0
20131218	57.20	57.20	56.85	57.00	-0.20	-0.35%	3488	198913	0
20131217	57.15	57.30	57.10	57.20	0.30	0.53%	3090	176775	0
20131216	57.25	57.25	56.70	56.90	-0.45	-0.78%	6972	396352	0
20131213	57.10	57.40	57.05	57.35	-0.05	-0.09%	5100	292052	0
20131212	57.60	57.60	57.20	57.40	-0.45	-0.78%	4216	241965	0
20131211	57.95	58.30	57.65	57.85	0.05	0.09%	10106	585499	0
20131210	57.55	57.90	57.55	57.80	0.15	0.26%	6867	396597	0
20131209	57.55	57.95	57.55	57.65	0.50	0.87%	8645	499380	0
20131206	57.05	57.40	56.90	57.15	0.05	0.09%	4024	230203	0
20131205	57.45	57.50	57.00	57.10	-0.35	-0.61%	6057	346321	0
20131204	57.25	57.65	57.20	57.45	-0.05	-0.09%	7402	425548	0
20131203	57.35	57.50	57.15	57.50	0.05	0.09%	7385	423384	0
20131202	57.60	57.70	57.35	57.45	-0.10	-0.17%	5601	321901	0
20131129	57.35	57.70	57.25	57.55	0.20	0.35%	14721	846658	0
20131128	57.35	57.45	57.20	57.35	0.35	0.61%	11237	644295	0
20131127	56.70	57.05	56.65	57.00	0.30	0.53%	8118	462141	0
20131126	56.00	56.90	56.00	56.70	0.45	0.80%	9879	558861	0
20131125	56.15	56.50	56.15	56.25	0.75	1.35%	10345	582455	0
20131122	55.50	55.70	55.50	55.50	0.05	0.09%	10916	606805	0
20131121	56.10	56.10	55.40	55.45	-1.00	-1.77%	35062	1947623	0
20131120	56.65	56.70	56.35	56.45	-0.35	-0.62%	9702	548102	0
20131119	56.55	56.85	56.55	56.80	0.35	0.62%	8479	480734	0
20131118	56.35	56.50	56.20	56.45	0.30	0.53%	5566	313864	0
20131115	56.10	56.35	55.90	56.15	0.25	0.45%	12723	714441	0
20131114	56.00	56.10	55.65	55.90	0.15	0.27%	15583	870464	0
20131113	56.25	56.30	55.70	55.75	-0.75	-1.33%	17169	960655	0
20131112	56.60	56.60	56.20	56.50	0.20	0.36%	6243	352233	0
20131111	56.45	56.50	56.20	56.30	-0.15	-0.27%	8238	463973	0
20131108	56.60	56.65	56.35	56.45	-0.20	-0.35%	6210	350924	0
20131107	56.85	56.85	56.50	56.65	-0.15	-0.26%	4901	277660	0
20131106	56.80	56.90	56.60	56.80	0.00	0.00%	4717	267848	0
20131105	57.25	57.35	56.75	56.80	-0.55	-0.96%	7879	448706	0
20131104	57.40	57.40	57.10	57.35	-0.25	-0.43%	6647	380467	0
20131101	58.00	58.10	57.45	57.60	-0.30	-0.52%	6293	362802	0
20131031	57.85	58.05	57.60	57.90	0.00	0.00%	6046	349993	0
20131030	57.80	57.90	57.65	57.90	0.15	0.26%	4376	252902	0
20131029	57.45	57.80	57.30	57.75	0.25	0.43%	5791	333532	0
