日期	開盤	最高	最低	收盤	漲跌	漲%	成交量	成交金額	本益比
20161230	71.65	72.00	71.55	71.80	0.55	0.77%	2726	195670	0
20161229	71.45	71.45	71.20	71.25	-0.35	-0.49%	1911	136351	0
20161228	70.85	71.60	70.85	71.60	0.85	1.20%	3686	263089	0
20161227	70.80	70.90	70.65	70.75	-0.05	-0.07%	2494	176417	0
20161226	70.65	70.80	70.55	70.80	0.25	0.35%	2105	148796	0
20161223	70.60	70.85	70.35	70.55	-0.25	-0.35%	5126	361673	0
20161222	71.55	71.55	70.80	70.80	-0.90	-1.26%	4972	352951	0
20161221	71.75	71.85	71.50	71.70	-0.05	-0.07%	9321	668442	0
20161220	71.95	71.95	71.55	71.75	-0.10	-0.14%	2030	145669	0
20161219	72.25	72.30	71.85	71.85	-0.45	-0.62%	2681	193048	0
20161216	72.80	72.80	72.30	72.30	-0.70	-0.96%	2148	155908	0
20161215	72.55	73.00	72.40	73.00	-0.10	-0.14%	3018	219455	0
20161214	73.20	73.30	72.90	73.10	0.15	0.21%	2828	206669	0
20161213	72.85	73.00	72.65	72.95	0.10	0.14%	2549	185728	0
20161212	73.30	73.55	72.75	72.85	-0.30	-0.41%	3209	234599	0
20161209	73.05	73.20	72.95	73.15	0.25	0.34%	5418	395995	0
20161208	72.30	73.00	72.30	72.90	0.90	1.25%	6086	442984	0
20161207	72.20	72.35	71.90	72.00	0.00	0.00%	1467	105807	0
20161206	71.80	72.20	71.75	72.00	0.90	1.27%	2436	175404	0
20161205	71.20	71.20	70.80	71.10	-0.10	-0.14%	1388	98577	0
20161202	71.20	71.20	70.90	71.20	-0.80	-1.11%	3308	235129	0
20161201	71.60	72.10	71.60	72.00	0.30	0.42%	1956	140730	0
20161130	71.70	71.90	71.50	71.70	0.05	0.07%	1918	137592	0
20161129	71.90	72.00	71.65	71.65	-0.10	-0.14%	1418	101829	0
20161128	71.35	72.00	71.35	71.75	0.40	0.56%	2646	189939	0
20161125	71.35	71.65	71.25	71.35	-0.05	-0.07%	2649	189254	0
20161124	71.60	71.60	71.20	71.40	-0.40	-0.56%	2303	164355	0
20161123	71.50	71.90	71.45	71.80	0.35	0.49%	1908	136842	0
20161122	70.75	71.65	70.75	71.45	0.95	1.35%	5294	377012	0
20161121	70.30	70.50	70.10	70.50	0.10	0.14%	2650	186524	0
20161118	70.10	70.40	69.90	70.40	0.20	0.28%	2120	148731	0
20161117	70.00	70.20	69.75	70.20	0.20	0.29%	3313	232129	0
20161116	70.20	70.50	69.95	70.00	0.10	0.14%	24750	1739238	0
20161115	69.80	70.10	69.75	69.90	-0.20	-0.29%	4016	280810	0
20161114	69.95	70.30	69.45	70.10	0.05	0.07%	7117	496754	0
20161111	70.35	70.70	69.95	70.05	-1.95	-2.71%	8376	588020	0
20161110	71.80	72.10	71.75	72.00	2.00	2.86%	6700	481885	0
20161109	72.85	73.05	70.00	70.00	-2.35	-3.25%	19937	1410922	0
20161108	72.15	72.40	72.00	72.35	0.35	0.49%	2694	194531	0
20161107	71.80	72.00	71.45	72.00	1.00	1.41%	3235	232394	0
20161104	71.00	71.20	70.85	71.00	-0.20	-0.28%	4346	308627	0
20161103	71.45	71.60	71.10	71.20	-0.55	-0.77%	4555	324765	0
20161102	71.95	72.00	71.60	71.75	-0.85	-1.17%	5502	394615	0
20161101	72.25	72.60	72.10	72.60	0.00	0.00%	2024	146646	0
20161031	72.25	72.70	71.70	72.60	0.00	0.00%	5464	394236	0
20161028	72.60	72.75	72.45	72.60	0.00	0.00%	4275	310172	0
20161027	73.00	73.15	72.40	72.60	-0.40	-0.55%	3170	230465	0
20161026	73.00	73.15	72.90	73.00	-0.40	-0.54%	2868	209503	0
20161025	72.85	73.50	72.85	73.40	0.70	0.96%	3716	271850	0
20161024	72.85	72.95	72.60	72.70	0.10	0.14%	3265	237613	0
20161021	72.65	73.05	72.55	72.60	-0.05	-0.07%	4235	308183	0
20161020	72.35	72.75	72.35	72.65	0.30	0.41%	4836	351124	0
20161019	72.00	72.60	72.00	72.35	0.40	0.56%	21575	1563480	0
20161018	71.50	71.95	71.30	71.95	0.50	0.70%	3620	259443	0
20161017	71.45	71.60	70.60	71.45	0.00	0.00%	4422	314012	0
20161014	71.30	71.90	71.30	71.45	-0.25	-0.35%	3633	259915	0
20161013	72.20	72.30	71.45	71.70	-0.55	-0.76%	5455	391910	0
20161012	71.50	72.30	71.35	72.25	0.80	1.12%	6057	435873	0
20161011	72.35	72.45	71.20	71.45	-0.20	-0.28%	6946	499048	0
20161007	71.60	71.80	71.60	71.65	-0.05	-0.07%	3053	218908	0
20161006	71.70	71.75	71.45	71.70	0.20	0.28%	2072	148366	0
20161005	71.60	71.85	71.45	71.50	-0.25	-0.35%	2838	203317	0
20161004	71.45	71.75	71.30	71.75	0.30	0.42%	5170	370215	0
20161003	71.20	71.60	71.10	71.45	0.50	0.70%	3888	277329	0
20160930	71.15	71.35	70.80	70.95	-0.95	-1.32%	5844	415284	0
20160929	71.85	72.15	71.40	71.90	0.90	1.27%	9624	691781	0
