日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20131231	新臺幣 (TWD)	1公克	1145.000	1159.000
20131230	新臺幣 (TWD)	1公克	1152.000	1166.000
20131227	新臺幣 (TWD)	1公克	1163.000	1177.000
20131226	新臺幣 (TWD)	1公克	1156.000	1172.000
20131225	新臺幣 (TWD)	1公克	1153.000	1171.000
20131224	新臺幣 (TWD)	1公克	1147.000	1160.000
20131223	新臺幣 (TWD)	1公克	1149.000	1163.000
20131220	新臺幣 (TWD)	1公克	1142.000	1156.000
20131219	新臺幣 (TWD)	1公克	1166.000	1180.000
20131218	新臺幣 (TWD)	1公克	1169.000	1183.000
20131217	新臺幣 (TWD)	1公克	1181.000	1195.000
20131216	新臺幣 (TWD)	1公克	1170.000	1184.000
20131213	新臺幣 (TWD)	1公克	1162.000	1176.000
20131212	新臺幣 (TWD)	1公克	1187.000	1201.000
20131211	新臺幣 (TWD)	1公克	1188.000	1202.000
20131210	新臺幣 (TWD)	1公克	1179.000	1193.000
20131209	新臺幣 (TWD)	1公克	1161.000	1175.000
20131206	新臺幣 (TWD)	1公克	1166.000	1180.000
20131205	新臺幣 (TWD)	1公克	1172.000	1186.000
20131204	新臺幣 (TWD)	1公克	1155.000	1169.000
20131203	新臺幣 (TWD)	1公克	1160.000	1174.000
20131202	新臺幣 (TWD)	1公克	1178.000	1192.000
20131129	新臺幣 (TWD)	1公克	1176.000	1190.000
20131128	新臺幣 (TWD)	1公克	1175.000	1189.000
20131127	新臺幣 (TWD)	1公克	1181.000	1195.000
20131126	新臺幣 (TWD)	1公克	1186.000	1200.000
20131125	新臺幣 (TWD)	1公克	1165.000	1179.000
20131122	新臺幣 (TWD)	1公克	1177.000	1191.000
20131121	新臺幣 (TWD)	1公克	1181.000	1195.000
20131120	新臺幣 (TWD)	1公克	1203.000	1218.000
20131119	新臺幣 (TWD)	1公克	1200.000	1215.000
20131118	新臺幣 (TWD)	1公克	1216.000	1231.000
