日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20151231	新台幣 (TWD)	1 公克	1115.000	1129.000
20151230	新台幣 (TWD)	1 公克	1124.000	1138.000
20151229	新台幣 (TWD)	1 公克	1125.000	1139.000
20151228	新台幣 (TWD)	1 公克	1125.000	1141.000
20151225	新台幣 (TWD)	1 公克	1125.000	1144.000
20151224	新台幣 (TWD)	1 公克	1126.000	1140.000
20151223	新台幣 (TWD)	1 公克	1127.000	1140.000
20151222	新台幣 (TWD)	1 公克	1132.000	1146.000
20151221	新台幣 (TWD)	1 公克	1122.000	1136.000
20151218	新台幣 (TWD)	1 公克	1111.000	1124.000
20151217	新台幣 (TWD)	1 公克	1120.000	1134.000
20151216	新台幣 (TWD)	1 公克	1116.000	1130.000
20151215	新台幣 (TWD)	1 公克	1114.000	1128.000
20151214	新台幣 (TWD)	1 公克	1127.000	1140.000
20151211	新臺幣 (TWD)	1 公克	1125.000	1139.000
20151210	新臺幣 (TWD)	1 公克	1125.000	1139.000
20151209	新臺幣 (TWD)	1 公克	1130.000	1144.000
20151208	新臺幣 (TWD)	1 公克	1126.000	1140.000
20151207	新臺幣 (TWD)	1 公克	1132.000	1146.000
20151204	新臺幣 (TWD)	1 公克	1110.000	1123.000
20151203	新臺幣 (TWD)	1 公克	1103.000	1116.000
20151202	新臺幣 (TWD)	1 公克	1116.000	1130.000
20151201	新臺幣 (TWD)	1 公克	1121.000	1134.000
20151130	新臺幣 (TWD)	1 公克	1101.000	1114.000
20151127	新臺幣 (TWD)	1 公克	1114.000	1128.000
20151126	新臺幣 (TWD)	1 公克	1114.000	1128.000
20151125	新臺幣 (TWD)	1 公克	1122.000	1136.000
20151124	新臺幣 (TWD)	1 公克	1119.000	1133.000
20151123	新臺幣 (TWD)	1 公克	1119.000	1133.000
20151120	新臺幣 (TWD)	1 公克	1130.000	1144.000
20151119	新臺幣 (TWD)	1 公克	1125.000	1139.000
20151118	新臺幣 (TWD)	1 公克	1125.000	1139.000
20151117	新臺幣 (TWD)	1 公克	1131.000	1145.000
20151116	新臺幣 (TWD)	1 公克	1151.000	1165.000
20151113	新臺幣 (TWD)	1 公克	1133.000	1147.000
20151112	新臺幣 (TWD)	1 公克	1136.000	1150.000
20151111	新臺幣 (TWD)	1 公克	1141.000	1155.000
20151110	新臺幣 (TWD)	1 公克	1144.000	1158.000
20151109	新臺幣 (TWD)	1 公克	1141.000	1155.000
20151106	新臺幣 (TWD)	1 公克	1152.000	1166.000
