日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20121228	新臺幣 (TWD)	1公克	1543.000	1562.000
20121227	新臺幣 (TWD)	1公克	1539.000	1558.000
20121226	新臺幣 (TWD)	1公克	1532.000	1555.000
20121225	新臺幣 (TWD)	1公克	1540.000	1565.000
20121224	新臺幣 (TWD)	1公克	1544.000	1563.000
20121222	新臺幣 (TWD)	1公克	1532.000	1556.000
20121221	新臺幣 (TWD)	1公克	1528.000	1547.000
20121220	新臺幣 (TWD)	1公克	1551.000	1570.000
20121219	新臺幣 (TWD)	1公克	1555.000	1574.000
20121218	新臺幣 (TWD)	1公克	1581.000	1600.000
20121217	新臺幣 (TWD)	1公克	1569.000	1588.000
20121214	新臺幣 (TWD)	1公克	1577.000	1596.000
20121213	新臺幣 (TWD)	1公克	1578.000	1597.000
20121212	新臺幣 (TWD)	1公克	1589.000	1609.000
20121211	新臺幣 (TWD)	1公克	1587.000	1607.000
20121210	新臺幣 (TWD)	1公克	1587.000	1607.000
20121207	新臺幣 (TWD)	1公克	1581.000	1600.000
20121206	新臺幣 (TWD)	1公克	1570.000	1589.000
20121205	新臺幣 (TWD)	1公克	1584.000	1603.000
20121204	新臺幣 (TWD)	1公克	1584.000	1603.000
20121203	新臺幣 (TWD)	1公克	1595.000	1615.000
20121130	新臺幣 (TWD)	1公克	1606.000	1626.000
20121129	新臺幣 (TWD)	1公克	1600.000	1620.000
20121128	新臺幣 (TWD)	1公克	1616.000	1636.000
20121127	新臺幣 (TWD)	1公克	1626.000	1646.000
20121126	新臺幣 (TWD)	1公克	1624.000	1644.000
20121123	新臺幣 (TWD)	1公克	1611.000	1631.000
20121122	新臺幣 (TWD)	1公克	1611.000	1631.000
20121121	新臺幣 (TWD)	1公克	1604.000	1624.000
20121120	新臺幣 (TWD)	1公克	1612.000	1632.000
20121119	新臺幣 (TWD)	1公克	1607.000	1627.000
20121116	新臺幣 (TWD)	1公克	1596.000	1616.000
20121115	新臺幣 (TWD)	1公克	1600.000	1620.000
20121114	新臺幣 (TWD)	1公克	1600.000	1620.000
20121113	新臺幣 (TWD)	1公克	1599.000	1619.000
20121112	新臺幣 (TWD)	1公克	1606.000	1626.000
20121109	新臺幣 (TWD)	1公克	1610.000	1630.000
20121108	新臺幣 (TWD)	1公克	1598.000	1618.000
20121107	新臺幣 (TWD)	1公克	1612.000	1632.000
20121106	新臺幣 (TWD)	1公克	1575.000	1594.000
20121105	新臺幣 (TWD)	1公克	1570.000	1589.000
20121102	新臺幣 (TWD)	1公克	1595.000	1615.000
20121101	新臺幣 (TWD)	1公克	1606.000	1626.000
20121031	新臺幣 (TWD)	1公克	1601.000	1621.000
20121030	新臺幣 (TWD)	1公克	1599.000	1619.000
20121029	新臺幣 (TWD)	1公克	1602.000	1622.000
20121026	新臺幣 (TWD)	1公克	1592.000	1612.000
20121025	新臺幣 (TWD)	1公克	1599.000	1619.000
20121024	新臺幣 (TWD)	1公克	1600.000	1620.000
20121023	新臺幣 (TWD)	1公克	1608.000	1628.000
20121022	新臺幣 (TWD)	1公克	1612.000	1632.000
20121019	新臺幣 (TWD)	1公克	1622.000	1642.000
20121018	新臺幣 (TWD)	1公克	1633.000	1653.000
20121017	新臺幣 (TWD)	1公克	1632.000	1652.000
20121016	新臺幣 (TWD)	1公克	1625.000	1645.000
20121015	新臺幣 (TWD)	1公克	1633.000	1653.000
20121012	新臺幣 (TWD)	1公克	1653.000	1673.000
20121011	新臺幣 (TWD)	1公克	1654.000	1674.000
20121009	新臺幣 (TWD)	1公克	1661.000	1681.000
20121008	新臺幣 (TWD)	1公克	1657.000	1677.000
20121005	新臺幣 (TWD)	1公克	1672.000	1693.000
20121004	新臺幣 (TWD)	1公克	1670.000	1691.000
20121003	新臺幣 (TWD)	1公克	1658.000	1678.000
20121002	新臺幣 (TWD)	1公克	1661.000	1681.000
20121001	新臺幣 (TWD)	1公克	1655.000	1675.000
