日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20141231	新臺幣 (TWD)	1公克	1210.000	1225.000
20141230	新臺幣 (TWD)	1公克	1204.000	1219.000
20141229	新臺幣 (TWD)	1公克	1211.000	1226.000
20141227	新臺幣 (TWD)	1公克	1211.000	1230.000
20141226	新臺幣 (TWD)	1公克	1203.000	1219.000
20141225	新臺幣 (TWD)	1公克	1191.000	1210.000
20141224	新臺幣 (TWD)	1公克	1199.000	1214.000
20141223	新臺幣 (TWD)	1公克	1199.000	1214.000
20141222	新臺幣 (TWD)	1公克	1210.000	1225.000
20141219	新臺幣 (TWD)	1公克	1204.000	1219.000
20141218	新臺幣 (TWD)	1公克	1201.000	1216.000
20141217	新臺幣 (TWD)	1公克	1198.000	1213.000
20141216	新臺幣 (TWD)	1公克	1198.000	1213.000
20141215	新臺幣 (TWD)	1公克	1220.000	1235.000
20141212	新臺幣 (TWD)	1公克	1219.000	1234.000
20141211	新臺幣 (TWD)	1公克	1218.000	1233.000
20141210	新臺幣 (TWD)	1公克	1232.000	1247.000
20141209	新臺幣 (TWD)	1公克	1199.000	1214.000
20141208	新臺幣 (TWD)	1公克	1189.000	1203.000
20141205	新臺幣 (TWD)	1公克	1197.000	1211.000
20141204	新臺幣 (TWD)	1公克	1196.000	1211.000
20141203	新臺幣 (TWD)	1公克	1192.000	1206.000
20141202	新臺幣 (TWD)	1公克	1196.000	1210.000
20141202	新臺幣 (TWD)	1公克	1196.000	1210.000
20141201	新臺幣 (TWD)	1公克	1150.000	1163.000
20141128	新臺幣 (TWD)	1公克	1174.000	1188.000
20141127	新臺幣 (TWD)	1公克	1180.000	1194.000
20141126	新臺幣 (TWD)	1公克	1185.000	1198.000
20141125	新臺幣 (TWD)	1公克	1182.000	1196.000
20141124	新臺幣 (TWD)	1公克	1184.000	1198.000
20141121	新臺幣 (TWD)	1公克	1180.000	1194.000
20141120	新臺幣 (TWD)	1公克	1170.000	1184.000
20141119	新臺幣 (TWD)	1公克	1173.000	1187.000
20141118	新臺幣 (TWD)	1公克	1166.000	1179.000
20141117	新臺幣 (TWD)	1公克	1163.000	1177.000
20141114	新臺幣 (TWD)	1公克	1129.000	1142.000
20141113	新臺幣 (TWD)	1公克	1134.000	1147.000
20141112	新臺幣 (TWD)	1公克	1142.000	1155.000
20141111	新臺幣 (TWD)	1公克	1125.000	1138.000
20141110	新臺幣 (TWD)	1公克	1142.000	1155.000
20141107	新臺幣 (TWD)	1公克	1120.000	1133.000
20141106	新臺幣 (TWD)	1公克	1119.000	1132.000
