日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20180723	新台幣 (TWD)	1公克	1202	1217
20180720	新台幣 (TWD)	1公克	1199	1214
20180719	新台幣 (TWD)	1公克	1195	1210
20180718	新台幣 (TWD)	1公克	1196	1211
20180717	新台幣 (TWD)	1公克	1212	1227
20180716	新台幣 (TWD)	1公克	1214	1229
20180713	新台幣 (TWD)	1公克	1213	1228
20180712	新台幣 (TWD)	1公克	1215	1230
20180711	新台幣 (TWD)	1公克	1218	1233
20180710	新台幣 (TWD)	1公克	1220	1235
20180709	新台幣 (TWD)	1公克	1223	1238
20180706	新台幣 (TWD)	1公克	1222	1237
20180705	新台幣 (TWD)	1公克	1224	1239
20180704	新台幣 (TWD)	1公克	1226	1241
20180709	新台幣 (TWD)	1公克	1223	1238
20180706	新台幣 (TWD)	1公克	1222	1237
20180705	新台幣 (TWD)	1公克	1224	1239
20180704	新台幣 (TWD)	1公克	1226	1241
20180703	新台幣 (TWD)	1公克	1215	1230
20180702	新台幣 (TWD)	1公克	1217	1232
20180629	新台幣 (TWD)	1公克	1218	1233
20180628	新台幣 (TWD)	1公克	1221	1236
20180627	新台幣 (TWD)	1公克	1224	1239
20180626	新台幣 (TWD)	1公克	1228	1243
20180625	新台幣 (TWD)	1公克	1230	1245
20180622	新台幣 (TWD)	1公克	1229	1244
20180621	新台幣 (TWD)	1公克	1224	1239
20180620	新台幣 (TWD)	1公克	1227	1242
20180619	新台幣 (TWD)	1公克	1234	1249
20180615	新台幣 (TWD)	1公克	1243	1258
20180614	新台幣 (TWD)	1公克	1245	1260
20180613	新台幣 (TWD)	1公克	1236	1251
20180612	新台幣 (TWD)	1公克	1237	1252
20180611	新台幣 (TWD)	1公克	1234	1249
20180608	新台幣 (TWD)	1公克	1232	1247
20180607	新台幣 (TWD)	1公克	1231	1246
20180606	新台幣 (TWD)	1公克	1234	1249
20180605	新台幣 (TWD)	1公克	1230	1245
20180604	新台幣 (TWD)	1公克	1233	1248
20180601	新台幣 (TWD)	1公克	1240	1255
20180531	新台幣 (TWD)	1公克	1248	1263
20180530	新台幣 (TWD)	1公克	1245	1260
20180529	新台幣 (TWD)	1公克	1241	1256
20180528	新台幣 (TWD)	1公克	1238	1253
20180525	新台幣 (TWD)	1公克	1246	1261
20180524	新台幣 (TWD)	1公克	1240	1255
20180523	新台幣 (TWD)	1公克	1233	1248
20180522	新台幣 (TWD)	1公克	1232	1247
20180521	新台幣 (TWD)	1公克	1229	1244
20180518	新台幣 (TWD)	1公克	1233	1248
20180517	新台幣 (TWD)	1公克	1232	1247
20180516	新台幣 (TWD)	1公克	1236	1251
20180515	新台幣 (TWD)	1公克	1250	1265
20180514	新台幣 (TWD)	1公克	1255	1270
20180511	新台幣 (TWD)	1公克	1256	1271
20180510	新台幣 (TWD)	1公克	1252	1267
20180509	新台幣 (TWD)	1公克	1248	1263
20180508	新台幣 (TWD)	1公克	1250	1265
20180507	新台幣 (TWD)	1公克	1248	1263
20180504	新台幣 (TWD)	1公克	1244	1259
20180503	新台幣 (TWD)	1公克	1243	1258
20180502	新台幣 (TWD)	1公克	1246	1261
20180430	新台幣 (TWD)	1公克	1245	1260
20180427	新台幣 (TWD)	1公克	1245	1260
20180426	新台幣 (TWD)	1公克	1258	1273
20180425	新台幣 (TWD)	1公克	1255	1270
20180424	新台幣 (TWD)	1公克	1255	1270
20180423	新台幣 (TWD)	1公克	1256	1271
20180420	新台幣 (TWD)	1公克	1261	1276
20180419	新台幣 (TWD)	1公克	1269	1284
20180418	新台幣 (TWD)	1公克	1259	1274
20180417	新台幣 (TWD)	1公克	1264	1279
20180416	新台幣 (TWD)	1公克	1260	1275
20180413	新台幣 (TWD)	1公克	1251	1266
20180412	新台幣 (TWD)	1公克	1262	1277
20180411	新台幣 (TWD)	1公克	1253	1268
20180410	新台幣 (TWD)	1公克	1244	1259
20180409	新台幣 (TWD)	1公克	1240	1255
20180403	新台幣 (TWD)	1公克	1248	1263
20180402	新台幣 (TWD)	1公克	1239	1254
20180331	新台幣 (TWD)	1公克	1235	1250
20180330	新台幣 (TWD)	1公克	1234	1249
20180329	新台幣 (TWD)	1公克	1233	1248
20180328	新台幣 (TWD)	1公克	1248	1263
20180327	新台幣 (TWD)	1公克	1260	1275
20180326	新台幣 (TWD)	1公克	1252	1267
20180323	新台幣 (TWD)	1公克	1249	1264
20180322	新台幣 (TWD)	1公克	1239	1254
20180321	新台幣 (TWD)	1公克	1227	1242
20180320	新台幣 (TWD)	1公克	1226	1241
20180319	新台幣 (TWD)	1公克	1221	1236
20180316	新台幣 (TWD)	1公克	1228	1243
20180315	新台幣 (TWD)	1公克	1236	1251
20180314	新台幣 (TWD)	1公克	1238	1253
20180313	新台幣 (TWD)	1公克	1233	1248
20180312	新台幣 (TWD)	1公克	1236	1251
20180309	新台幣 (TWD)	1公克	1235	1250
20180308	新台幣 (TWD)	1公克	1242	1257
20180307	新台幣 (TWD)	1公克	1244	1259
20180306	新台幣 (TWD)	1公克	1235	1250
20180305	新台幣 (TWD)	1公克	1240	1255
20180302	新台幣 (TWD)	1公克	1233	1248
20180301	新台幣 (TWD)	1公克	1230	1245
20180227	新台幣 (TWD)	1公克	1244	1259
20180226	新台幣 (TWD)	1公克	1249	1264
20180223	新台幣 (TWD)	1公克	1242	1257
20180222	新台幣 (TWD)	1公克	1236	1251
20180221	新台幣 (TWD)	1公克	1239	1254
20180214	新台幣 (TWD)	1公克	1248	1263
20180213	新台幣 (TWD)	1公克	1244	1259
20180212	新台幣 (TWD)	1公克	1242	1257
20180209	新台幣 (TWD)	1公克	1240	1255
20180208	新台幣 (TWD)	1公克	1232	1247
20180207	新台幣 (TWD)	1公克	1244	1259
20180206	新台幣 (TWD)	1公克	1259	1274
20180206	新台幣 (TWD)	1公克	1259	1274
20180205	新台幣 (TWD)	1公克	1246	1261
20180202	新台幣 (TWD)	1公克	1258	1273
20180201	新台幣 (TWD)	1公克	1249	1264
20180131	新台幣 (TWD)	1公克	1249	1264
20180130	新台幣 (TWD)	1公克	1246	1261
20180129	新台幣 (TWD)	1公克	1254	1269
20180126	新台幣 (TWD)	1公克	1259	1274
20180125	新台幣 (TWD)	1公克	1262	1277
20180124	新台幣 (TWD)	1公克	1253	1268
20180123	新台幣 (TWD)	1公克	1248	1263
20180122	新台幣 (TWD)	1公克	1245	1260
20180119	新台幣 (TWD)	1公克	1250	1265
20180118	新台幣 (TWD)	1公克	1251	1266
20180117	新台幣 (TWD)	1公克	1258	1273
20180116	新台幣 (TWD)	1公克	1263	1278
20180115	新台幣 (TWD)	1公克	1265	1280
20180112	新台幣 (TWD)	1公克	1255	1270
20180111	新台幣 (TWD)	1公克	1246	1261
20180110	新台幣 (TWD)	1公克	1238	1253
20180109	新台幣 (TWD)	1公克	1242	1257
20180108	新台幣 (TWD)	1公克	1241	1256
20180105	新台幣 (TWD)	1公克	1242	1257
20180104	新台幣 (TWD)	1公克	1236	1251
20180103	新台幣 (TWD)	1公克	1239	1254
20180102	新台幣 (TWD)	1公克	1237	1252
