日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20171229	新台幣 (TWD)	1公克	1230.000	1245.000
20171228	新台幣 (TWD)	1公克	1228.000	1243.000
20171227	新台幣 (TWD)	1公克	1227.000	1242.000
20171226	新台幣 (TWD)	1公克	1219.000	1237.000
20171225	新台幣 (TWD)	1公克	1218.000	1237.000
20171222	新台幣 (TWD)	1公克	1212.000	1227.000
20171221	新台幣 (TWD)	1公克	1213.000	1228.000
20171220	新台幣 (TWD)	1公克	1210.000	1225.000
20171219	新台幣 (TWD)	1公克	1210.000	1225.000
20171218	新台幣 (TWD)	1公克	1204.000	1219.000
20171215	新台幣 (TWD)	1公克	1203.000	1218.000
20171214	新台幣 (TWD)	1公克	1205.000	1220.000
20171213	新台幣 (TWD)	1公克	1192.000	1207.000
20171212	新台幣 (TWD)	1公克	1195.000	1210.000
20171211	新台幣 (TWD)	1公克	1200.000	1215.000
20171208	新台幣 (TWD)	1公克	1197.000	1212.000
20171207	新台幣 (TWD)	1公克	1206.000	1221.000
20171206	新台幣 (TWD)	1公克	1215.000	1230.000
20171205	新台幣 (TWD)	1公克	1222.000	1237.000
20171204	新台幣 (TWD)	1公克	1223.000	1238.000
20171201	新台幣 (TWD)	1公克	1223.000	1238.000
20171130	新台幣 (TWD)	1公克	1230.000	1245.000
20171129	新台幣 (TWD)	1公克	1240.000	1255.000
20171128	新台幣 (TWD)	1公克	1238.000	1253.000
20171127	新台幣 (TWD)	1公克	1236.000	1251.000
20171124	新台幣 (TWD)	1公克	1235.000	1250.000
20171123	新台幣 (TWD)	1公克	1236.000	1251.000
20171122	新台幣 (TWD)	1公克	1230.000	1245.000
20171121	新台幣 (TWD)	1公克	1229.000	1244.000
20171120	新台幣 (TWD)	1公克	1239.000	1254.000
20171117	新台幣 (TWD)	1公克	1232.000	1247.000
20171116	新台幣 (TWD)	1公克	1229.000	1244.000
20171115	新台幣 (TWD)	1公克	1235.000	1250.000
20171114	新台幣 (TWD)	1公克	1231.000	1246.000
20171113	新台幣 (TWD)	1公克	1231.000	1246.000
20171110	新台幣 (TWD)	1公克	1238.000	1253.000
20171109	新台幣 (TWD)	1公克	1237.000	1252.000
20171108	新台幣 (TWD)	1公克	1233.000	1248.000
20171107	新台幣 (TWD)	1公克	1232.000	1247.000
20171106	新台幣 (TWD)	1公克	1224.000	1239.000
20171103	新台幣 (TWD)	1公克	1229.000	1244.000
20171102	新台幣 (TWD)	1公克	1233.000	1248.000
20171101	新台幣 (TWD)	1公克	1229.000	1244.000
20171031	新台幣 (TWD)	1公克	1230.000	1245.000
20171030	新台幣 (TWD)	1公克	1224.000	1239.000
20171027	新台幣 (TWD)	1公克	1224.000	1239.000
20171026	新台幣 (TWD)	1公克	1236.000	1251.000
20171025	新台幣 (TWD)	1公克	1231.000	1246.000
20171024	新台幣 (TWD)	1公克	1237.000	1252.000
