日期	牌價幣別	商品重量	本行買入價格	本行賣出價格
20161230	新台幣 (TWD)	1 公克	1195.000	1210.000
20161229	新台幣 (TWD)	1 公克	1186.000	1200.000
20161228	新台幣 (TWD)	1 公克	1180.000	1194.000
20161227	新台幣 (TWD)	1 公克	1176.000	1190.000
20161226	新台幣 (TWD)	1 公克	1166.000	1184.000
20161223	新台幣 (TWD)	1 公克	1163.000	1177.000
20161222	新台幣 (TWD)	1 公克	1159.000	1173.000
20161221	新台幣 (TWD)	1 公克	1164.000	1178.000
20161220	新台幣 (TWD)	1 公克	1161.000	1175.000
20161219	新台幣 (TWD)	1 公克	1166.000	1180.000
20161216	新台幣 (TWD)	1 公克	1158.000	1172.000
20161215	新台幣 (TWD)	1 公克	1163.000	1177.000
20161214	新台幣 (TWD)	1 公克	1180.000	1194.000
20161213	新台幣 (TWD)	1 公克	1182.000	1196.000
20161212	新台幣 (TWD)	1 公克	1178.000	1192.000
20161209	新台幣 (TWD)	1 公克	1190.000	1205.000
20161208	新台幣 (TWD)	1 公克	1191.000	1206.000
20161207	新台幣 (TWD)	1 公克	1192.000	1207.000
20161206	新台幣 (TWD)	1 公克	1196.000	1211.000
20161205	新台幣 (TWD)	1 公克	1198.000	1213.000
20161202	新台幣 (TWD)	1 公克	1198.000	1213.000
20161201	新台幣 (TWD)	1 公克	1196.000	1211.000
20161130	新台幣 (TWD)	1 公克	1212.000	1227.000
20161129	新台幣 (TWD)	1 公克	1211.000	1226.000
20161128	新台幣 (TWD)	1 公克	1212.000	1227.000
20161125	新台幣 (TWD)	1 公克	1212.000	1227.000
20161124	新台幣 (TWD)	1 公克	1212.000	1227.000
20161123	新台幣 (TWD)	1 公克	1236.000	1251.000
20161122	新台幣 (TWD)	1 公克	1240.000	1255.000
20161121	新台幣 (TWD)	1 公克	1242.000	1257.000
20161118	新台幣 (TWD)	1 公克	1238.000	1253.000
20161117	新台幣 (TWD)	1 公克	1250.000	1265.000
20161116	新台幣 (TWD)	1 公克	1249.000	1264.000
20161115	新台幣 (TWD)	1 公克	1252.000	1267.000
20161114	新台幣 (TWD)	1 公克	1251.000	1266.000
20161111	新台幣 (TWD)	1 公克	1284.000	1300.000
20161110	新台幣 (TWD)	1 公克	1299.000	1315.000
20161109	新台幣 (TWD)	1 公克	1328.000	1344.000
20161108	新台幣 (TWD)	1 公克	1293.000	1309.000
20161107	新台幣 (TWD)	1 公克	1296.000	1312.000
20161104	新台幣 (TWD)	1 公克	1304.000	1320.000
20161103	新台幣 (TWD)	1 公克	1309.000	1325.000
20161102	新台幣 (TWD)	1 公克	1304.000	1320.000
20161101	新台幣 (TWD)	1 公克	1290.000	1306.000
20161031	新台幣 (TWD)	1 公克	1286.000	1302.000
20161028	新台幣 (TWD)	1 公克	1281.000	1297.000
20161027	新台幣 (TWD)	1 公克	1281.000	1297.000
20161026	新台幣 (TWD)	1 公克	1286.000	1302.000
20161025	新台幣 (TWD)	1 公克	1278.000	1294.000
20161024	新台幣 (TWD)	1 公克	1280.000	1296.000
20161021	新台幣 (TWD)	1 公克	1275.000	1291.000
20161020	新台幣 (TWD)	1 公克	1277.000	1293.000
20161019	新台幣 (TWD)	1 公克	1269.000	1285.000
20161018	新台幣 (TWD)	1 公克	1276.000	1292.000
20161017	新台幣 (TWD)	1 公克	1272.000	1288.000
20161014	新台幣 (TWD)	1 公克	1270.000	1286.000
20161013	新台幣 (TWD)	1 公克	1278.000	1294.000
20161012	新台幣 (TWD)	1 公克	1269.000	1284.000
20161011	新台幣 (TWD)	1 公克	1272.000	1288.000
20161007	新台幣 (TWD)	1 公克	1262.000	1277.000
